Altium Designer Pick and Place Locations
D:\My Work\INNE\FMC_SDR\FMC_SDR\FMC_SDR\Project Outputs for FMC_SDR\Pick Place\Pick Place for FMC_SDR.txt

========================================================================================================================
File Design Information:

Date:       03.03.20
Time:       13:39
Revision:   0525db9c2e5c9b9693491075c1a89acfebd66de6
Variant:    No variations
Units used: mil

Designator Comment          Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                
C102       100pF            BottomLayer CAPC1005X55N                  2883.271      314.961       270      "Non-polarised capacitor"                                                                                                  
C101       1nF              BottomLayer CAPC1005X55N                  3051.181      314.961       270      "Non-polarised capacitor"                                                                                                  
C99        100pF            BottomLayer CAPC1005X55N                  3219.091      314.961       270      "Non-polarised capacitor"                                                                                                  
C92        1nF              BottomLayer CAPC1005X55N                  2307.484      316.929       270      "Non-polarised capacitor"                                                                                                  
C85        100pF            BottomLayer CAPC1005X55N                  2568.898      316.929       270      "Non-polarised capacitor"                                                                                                  
C84        1nF              BottomLayer CAPC1005X55N                  2438.191      316.929       270      "Non-polarised capacitor"                                                                                                  
C20        1uF              TopLayer    CAPC3216X140N                 5108.268      1377.953      90       "Non-polarised capacitor"                                                                                                  
C16        1uF              TopLayer    CAPC3216X140N                 4291.339      196.850       0        "Non-polarised capacitor"                                                                                                  
C14        1uF              TopLayer    CAPC3216X140N                 3287.402      195.866       180      "Non-polarised capacitor"                                                                                                  
C217       1nF              BottomLayer CAPC1005X55N                  3433.071      1190.945      180      "Non-polarised capacitor"                                                                                                  
C216       1nF              BottomLayer CAPC1005X55N                  3432.549      1328.740      180      "Non-polarised capacitor"                                                                                                  
C215       1nF              BottomLayer CAPC1005X55N                  3433.071      1086.614      180      "Non-polarised capacitor"                                                                                                  
C214       1nF              BottomLayer CAPC1005X55N                  4163.386      2207.677      90       "Non-polarised capacitor"                                                                                                  
C213       100pF            BottomLayer CAPC1005X55N                  4017.272      2207.677      90       "Non-polarised capacitor"                                                                                                  
C212       1nF              BottomLayer CAPC1005X55N                  3871.158      2207.677      90       "Non-polarised capacitor"                                                                                                  
C211       100pF            BottomLayer CAPC1005X55N                  3725.044      2207.677      90       "Non-polarised capacitor"                                                                                                  
C210       1nF              BottomLayer CAPC1005X55N                  4340.864      1587.697      360      "Non-polarised capacitor"                                                                                                  
C209       100pF            BottomLayer CAPC1005X55N                  4343.504      503.937       360      "Non-polarised capacitor"                                                                                                  
C208       1nF              BottomLayer CAPC1005X55N                  4343.504      658.760       360      "Non-polarised capacitor"                                                                                                  
C207       100pF            BottomLayer CAPC1005X55N                  4343.504      813.583       360      "Non-polarised capacitor"                                                                                                  
C206       1nF              BottomLayer CAPC1005X55N                  4343.504      968.405       360      "Non-polarised capacitor"                                                                                                  
C205       100pF            BottomLayer CAPC1005X55N                  4343.504      1123.228      360      "Non-polarised capacitor"                                                                                                  
C204       1nF              BottomLayer CAPC1005X55N                  4173.228      316.929       270      "Non-polarised capacitor"                                                                                                  
C199       100pF            BottomLayer CAPC1005X55N                  4005.905      316.929       270      "Non-polarised capacitor"                                                                                                  
C198       1nF              BottomLayer CAPC1005X55N                  3838.583      316.929       270      "Non-polarised capacitor"                                                                                                  
C162       1uF              TopLayer    CAPC3216X140N                 3976.378      196.850       180      "Non-polarised capacitor"                                                                                                  
C160       1nF              BottomLayer CAPC1005X55N                  3432.549      2068.793      180      "Non-polarised capacitor"                                                                                                  
C158       100pF            BottomLayer CAPC1005X55N                  3432.549      1920.534      180      "Non-polarised capacitor"                                                                                                  
C156       1uF              TopLayer    CAPC3216X140N                 3499.695      626.714       90       "Non-polarised capacitor"                                                                                                  
C155       100pF            BottomLayer CAPC1005X55N                  3432.549      1772.275      180      "Non-polarised capacitor"                                                                                                  
C154       1nF              BottomLayer CAPC1005X55N                  3503.937      316.929       270      "Non-polarised capacitor"                                                                                                  
C153       1uF              TopLayer    CAPC3216X140N                 2411.417      2154.162      180      "Non-polarised capacitor"                                                                                                  
C152       100pF            BottomLayer CAPC1005X55N                  3169.291      2203.740      90       "Non-polarised capacitor"                                                                                                  
C151       1nF              BottomLayer CAPC1005X55N                  3021.654      2203.740      90       "Non-polarised capacitor"                                                                                                  
C150       1uF              TopLayer    CAPC3216X140N                 4273.622      659.537       90       "Non-polarised capacitor"                                                                                                  
C149       100pF            BottomLayer CAPC1005X55N                  2874.016      2203.740      90       "Non-polarised capacitor"                                                                                                  
C148       1nF              BottomLayer CAPC1005X55N                  2726.378      2203.740      90       "Non-polarised capacitor"                                                                                                  
C147       1uF              TopLayer    CAPC3216X140N                 5108.268      1801.181      90       "Non-polarised capacitor"                                                                                                  
C146       100pF            BottomLayer CAPC1005X55N                  2578.740      2203.740      90       "Non-polarised capacitor"                                                                                                  
C145       1nF              BottomLayer CAPC1005X55N                  2431.102      2203.740      90       "Non-polarised capacitor"                                                                                                  
C144       1uF              TopLayer    CAPC3216X140N                 2352.362      383.858       180      "Non-polarised capacitor"                                                                                                  
C143       100pF            BottomLayer CAPC1005X55N                  4340.864      1742.519      360      "Non-polarised capacitor"                                                                                                  
C142       1nF              BottomLayer CAPC1005X55N                  3432.549      738.189       180      "Non-polarised capacitor"                                                                                                  
C140       100pF            BottomLayer CAPC1005X55N                  3433.071      610.236       180      "Non-polarised capacitor"                                                                                                  
C139       1nF              BottomLayer CAPC1005X55N                  3433.071      482.284       180      "Non-polarised capacitor"                                                                                                  
C138       1uF              TopLayer    CAPC3216X140N                 3501.417      2096.457      90       "Non-polarised capacitor"                                                                                                  
C137       100pF            BottomLayer CAPC1005X55N                  4340.864      1278.051      360      "Non-polarised capacitor"                                                                                                  
C136       1nF              BottomLayer CAPC1005X55N                  4340.864      1432.874      360      "Non-polarised capacitor"                                                                                                  
C134       100pF            BottomLayer CAPC1005X55N                  4340.864      1897.342      360      "Non-polarised capacitor"                                                                                                  
C133       1nF              BottomLayer CAPC1005X55N                  4340.864      2052.165      360      "Non-polarised capacitor"                                                                                                  
C132       1uF              TopLayer    CAPC3216X140N                 4273.283      1240.158      90       "Non-polarised capacitor"                                                                                                  
C131       100pF            BottomLayer CAPC1005X55N                  3671.260      316.929       270      "Non-polarised capacitor"                                                                                                  
C130       1nF              BottomLayer CAPC1005X55N                  3433.071      1624.016      180      "Non-polarised capacitor"                                                                                                  
R11        49R9             TopLayer    RESC1005X40N                  3494.095      1042.323      180      "Resistor - 1%"                                                                                                            
C6         10uF             BottomLayer CAPC1608X87N                  4963.583      207.677       90       "Non-polarised capacitor"                                                                                                  
C98        10nF             BottomLayer CAPC0603X33N                  4084.646      1188.976      180      "Non-polarised capacitor"                                                                                                  
C97        10nF             BottomLayer CAPC0603X33N                  4084.646      1157.480      180      "Non-polarised capacitor"                                                                                                  
L1         1k@100MHz        BottomLayer INDC1005X55N                  4104.685      1308.772      270      ""                                                                                                                         
C91        10nF             BottomLayer CAPC0603X33N                  3928.149      1377.953      360      "Non-polarised capacitor"                                                                                                  
C89        10nF             BottomLayer CAPC0603X33N                  3976.488      1423.228      270      "Non-polarised capacitor"                                                                                                  
C88        1uF              BottomLayer CAPC1005X55N                  3968.504      1492.126      270      "Non-polarised capacitor"                                                                                                  
C87        10nF             BottomLayer CAPC0603X33N                  3913.386      1111.220      270      "Non-polarised capacitor"                                                                                                  
C80        10nF             BottomLayer CAPC0603X33N                  3787.401      1360.236      270      "Non-polarised capacitor"                                                                                                  
C79        1uF              BottomLayer CAPC1005X55N                  3689.961      1344.598      270      "Non-polarised capacitor"                                                                                                  
C71        10nF             BottomLayer CAPC0603X33N                  3818.898      1393.701      270      "Non-polarised capacitor"                                                                                                  
C70        1uF              BottomLayer CAPC1005X55N                  3743.110      1474.409      360      "Non-polarised capacitor"                                                                                                  
C69        10nF             BottomLayer CAPC0603X33N                  3913.496      1427.165      270      "Non-polarised capacitor"                                                                                                  
C68        1uF              BottomLayer CAPC1005X55N                  3866.142      1528.543      270      "Non-polarised capacitor"                                                                                                  
C66        1uF              BottomLayer CAPC1005X55N                  3743.716      1508.858      360      "Non-polarised capacitor"                                                                                                  
C64        10nF             BottomLayer CAPC0603X33N                  4023.622      1188.976      360      "Non-polarised capacitor"                                                                                                  
C63        1uF              BottomLayer CAPC1005X55N                  4159.449      1152.559      180      "Non-polarised capacitor"                                                                                                  
C35        1uF              BottomLayer CAPC1005X55N                  3778.543      1039.370      90       "Non-polarised capacitor"                                                                                                  
C34        10nF             BottomLayer CAPC0603X33N                  3866.142      1094.488      180      "Non-polarised capacitor"                                                                                                  
C31        100nF            BottomLayer CAPC1005X55N                  3811.023      1039.370      90       "Non-polarised capacitor"                                                                                                  
C27        1uF              BottomLayer CAPC1005X55N                  4122.047      1219.488      180      "Non-polarised capacitor"                                                                                                  
C26        10nF             BottomLayer CAPC0603X33N                  4023.622      1220.472      360      "Non-polarised capacitor"                                                                                                  
C25        100nF            BottomLayer CAPC1005X55N                  4144.685      1309.055      270      "Non-polarised capacitor"                                                                                                  
C24        10nF             BottomLayer CAPC1005X55N                  4162.401      1256.890      180      "Non-polarised capacitor"                                                                                                  
C2         1uF              BottomLayer CAPC1005X55N                  4184.685      1308.772      270      "Non-polarised capacitor"                                                                                                  
R9         1                BottomLayer RESC1005X40N                  3915.157      1475.394      180      "Resistor - 1%"                                                                                                            
R7         1                BottomLayer RESC1005X40N                  4089.370      1125.984      180      "Resistor - 1%"                                                                                                            
