Altium Designer Pick and Place Locations
D:\My Work\INNE\FMC_SDR\FMC_SDR_XFE\FMC_SDR_XFE\Project Outputs for FMC_SDR_XFE\Pick Place\Pick Place for FMC_SDR_XFE.txt

========================================================================================================================
File Design Information:

Date:       19.03.20
Time:       00:24
Revision:   56ea0e8993deb10f2ac8f12f503519989f436418
Variant:    No variations
Units used: mil

Designator       Comment                     Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                          
R120             0                           TopLayer    RESC1608X55N                   1319.882      1264.764      270      Resistor                                                             
R119             0                           TopLayer    RESC1608X55N                   1096.457      1227.362      360      Resistor                                                             
R118             0                           BottomLayer RESC1608X55N                   2287.402      1109.252      180      Resistor                                                             
R117_BUCK_5V5    0                           BottomLayer RESC1608X55N                   1917.323      1937.008      180      Resistor                                                             
R117_BUCK_3V8    0                           BottomLayer RESC1608X55N                   2278.543      1438.976      180      Resistor                                                             
C53              2.2uF                       TopLayer    CAPC2012X140N                  759.842       807.087       180      "Non-polarised capacitor"                                            
R108             Undefined                   BottomLayer RESC3216X65N                   564.961       936.024       360      Resistor                                                             
R116             Undefined                   TopLayer    RESC1005X40N                   2409.449      1045.276      360      Resistor                                                             
R114             0                           BottomLayer RESC3216X65N                   782.480       807.087       360      Resistor                                                             
R112             0                           BottomLayer RESC3216X65N                   391.732       813.976       360      Resistor                                                             
R111             1k96                        TopLayer    RESC1608X55N                   768.701       710.630       90       "Resistor - 0.1%"                                                    
R110             499                         BottomLayer RESC1608X55N                   737.205       742.126       180      "Resistor - 0.1%"                                                    
R109             49k9                        BottomLayer RESC1608X55N                   598.425       711.614       90       "Resistor - 0.1%"                                                    
R107             0                           TopLayer    RESC1005X40N                   2428.150      991.142       90       Resistor                                                             
R106             Undefined                   BottomLayer RESC1005X40N                   1762.795      185.039       270      Resistor                                                             
R104             Undefined                   BottomLayer RESC1005X40N                   1237.205      2124.016      90       Resistor                                                             
R103             0.1                         TopLayer    RESC1005X40N                   718.157       2236.220      90       "Resistor - 1%"                                                      
R102             0.1                         TopLayer    RESC1005X40N                   719.488       2511.811      270      "Resistor - 1%"                                                      
J14              U.FL                        BottomLayer HIROSE_U.FL-R-SMT-1(10)        1770.669      276.083       180      ""                                                                   
J13              U.FL                        BottomLayer HIROSE_U.FL-R-SMT-1(10)        1152.067      2102.362      270      ""                                                                   
IC26             LT3080EDD#PBF               BottomLayer SON50P300X300X80-9N-R175X248   561.024       823.958       180      "Adjustable 1.1A Single Resistor Low Dropout Regulator"              
C50              2.2uF                       TopLayer    CAPC2012X140N                  622.047       807.087       0        "Non-polarised capacitor"                                            
C37              Undefined                   TopLayer    CAPC1005X55N                   2570.866      762.795       270      "Non-polarised capacitor"                                            
BSC6             "06031206 Male"             TopLayer    PCB_CONN_0603M                 3280.000      1326.929      360      ""                                                                   
BSC5             "06031206 Male"             TopLayer    PCB_CONN_0603M                 3280.000      1862.205      360      ""                                                                   
C216             1nF                         BottomLayer CAPC1005X55N                   1685.039      1915.354      180      "Non-polarised capacitor"                                            
R45              1M                          BottomLayer RESC1005X40N                   245.079       1824.803      270      "Resistor - 1%"                                                      
J3               SMA                         TopLayer    TELEGARTNER_J01151A0451        296.260       2277.559      180      ""                                                                   
J1               SMA                         TopLayer    TELEGARTNER_J01151A0451        295.276       486.221       180      ""                                                                   
IC1_PreampRX1    LEE-39+                     TopLayer    MINI-CIRCUITS_FG873            1622.047      2301.772      360      "Monolithic Amplifier"                                               
C65              10pF                        BottomLayer CAPC1005X55N                   2120.079      841.535       180      "Non-polarised capacitor"                                            
C64              10pF                        BottomLayer CAPC1005X55N                   2120.079      880.905       180      "Non-polarised capacitor"                                            
C63              10pF                        BottomLayer CAPC1005X55N                   2120.079      802.165       180      "Non-polarised capacitor"                                            
C59              10pF                        BottomLayer CAPC1005X55N                   2120.079      762.795       180      "Non-polarised capacitor"                                            
C58              10pF                        BottomLayer CAPC1005X55N                   2120.079      684.055       180      "Non-polarised capacitor"                                            
C56              10pF                        BottomLayer CAPC1005X55N                   2120.079      723.425       180      "Non-polarised capacitor"                                            
C55              10pF                        BottomLayer CAPC1005X55N                   2120.079      644.685       180      "Non-polarised capacitor"                                            
C54              10pF                        BottomLayer CAPC1005X55N                   2120.079      605.315       180      "Non-polarised capacitor"                                            
C52              10pF                        BottomLayer CAPC1005X55N                   2120.079      565.945       180      "Non-polarised capacitor"                                            
C38              10pF                        BottomLayer CAPC1005X55N                   2120.078      526.578       180      "Non-polarised capacitor"                                            
C219             1nF                         BottomLayer CAPC1005X55N                   1646.654      1186.024      360      "Non-polarised capacitor"                                            
C218             1nF                         BottomLayer CAPC1005X55N                   1645.669      1381.890      360      "Non-polarised capacitor"                                            
C217             1nF                         BottomLayer CAPC1005X55N                   1687.008      1145.669      180      "Non-polarised capacitor"                                            
C215             1nF                         BottomLayer CAPC1005X55N                   1689.961      1424.213      180      "Non-polarised capacitor"                                            
C214             1nF                         BottomLayer CAPC1005X55N                   356.299       1714.567      180      "Non-polarised capacitor"                                            
C213             100pF                       BottomLayer CAPC1005X55N                   1686.024      1765.748      180      "Non-polarised capacitor"                                            
C212             1nF                         BottomLayer CAPC1005X55N                   1138.780      1578.740      270      "Non-polarised capacitor"                                            
C211             100pF                       BottomLayer CAPC1005X55N                   1687.008      1065.945      180      "Non-polarised capacitor"                                            
C210             1nF                         BottomLayer CAPC1005X55N                   355.315       1801.181      180      "Non-polarised capacitor"                                            
C209             100pF                       BottomLayer CAPC1005X55N                   742.126       1579.724      270      "Non-polarised capacitor"                                            
C208             1nF                         BottomLayer CAPC1005X55N                   822.835       1579.724      270      "Non-polarised capacitor"                                            
C207             100pF                       BottomLayer CAPC1005X55N                   506.890       1579.724      270      "Non-polarised capacitor"                                            
C206             1nF                         BottomLayer CAPC1005X55N                   1685.039      1710.630      180      "Non-polarised capacitor"                                            
C205             100pF                       BottomLayer CAPC1005X55N                   1687.008      1303.150      180      "Non-polarised capacitor"                                            
C204             1nF                         BottomLayer CAPC1005X55N                   1375.000      1578.740      270      "Non-polarised capacitor"                                            
C199             100pF                       BottomLayer CAPC1005X55N                   1217.520      1578.740      270      "Non-polarised capacitor"                                            
C198             1nF                         BottomLayer CAPC1005X55N                   625.000       1580.709      270      "Non-polarised capacitor"                                            
C189             1nF                         BottomLayer CAPC1005X55N                   548.228       1542.323      90       "Non-polarised capacitor"                                            
C187             100pF                       BottomLayer CAPC1005X55N                   317.913       1757.874      360      "Non-polarised capacitor"                                            
C186             1nF                         BottomLayer CAPC1005X55N                   269.685       2021.654      90       "Non-polarised capacitor"                                            
C178             1nF                         BottomLayer CAPC1005X55N                   316.929       1914.370      360      "Non-polarised capacitor"                                            
C196             1nF                         BottomLayer CAPC1005X55N                   1259.843      1542.323      90       "Non-polarised capacitor"                                            
C194             100pF                       BottomLayer CAPC1005X55N                   1646.654      1105.315      360      "Non-polarised capacitor"                                            
C193             1nF                         BottomLayer CAPC1005X55N                   1330.709      47.244        270      "Non-polarised capacitor"                                            
C190             100pF                       BottomLayer CAPC1005X55N                   733.268       47.244        270      "Non-polarised capacitor"                                            
C185             1uF                         TopLayer    CAPC3216X140N                  1678.150      688.976       90       "Non-polarised capacitor"                                            
C184             100pF                       BottomLayer CAPC1005X55N                   1409.449      47.244        270      "Non-polarised capacitor"                                            
C181             1nF                         BottomLayer CAPC1005X55N                   1805.118      47.244        270      "Non-polarised capacitor"                                            
C180             1uF                         TopLayer    CAPC3216X140N                  1599.606      1181.102      90       "Non-polarised capacitor"                                            
C179             100pF                       BottomLayer CAPC1005X55N                   417.323       46.260        270      "Non-polarised capacitor"                                            
